seed,method,technicians,opening,work_mean,overtime_mean,overtime_p95,overtime_share_of_tail,crossing_frac,workload_gini,workload_mad,overtime_gini,max_tech_overtime,arch_size,arch_spread_f1,arch_spread_f2,arch_collinearity,p95,f3,hv,mean_buffer,mean_pack
18,Deterministic AHD,5.0,200.0,569.25502,112.92804,258.55841,0.58795,1.0,0.0324,6.13312,0.25875,23.85508,1.0,0.0,0.0,nan,1130.93068,123.07573,0.29981,0.0,1.05025
18,MO AHD (no fuzzy risk),5.0,200.0,569.25502,112.92804,258.55841,0.58795,1.0,0.0324,6.13312,0.25875,23.85508,1.0,0.0,0.0,nan,1130.93068,123.07573,0.29981,0.0,1.05025
18,C-R-EoH,7.0,280.0,569.25502,3.9183,12.12482,0.23677,0.0,0.04385,5.4449,0.24418,1.78408,4.0,0.43336,0.36192,0.80292,966.27649,56.45163,1.09145,0.0,0.75971
19,Classical heuristic,6.0,240.0,570.68521,56.81239,137.73837,0.55936,0.33333,0.11982,18.09655,0.49525,15.83422,1.0,0.0,0.0,nan,1016.04127,79.43756,0.35132,0.0,1.0
19,Deterministic AHD,6.0,240.0,570.68521,24.2257,81.19462,0.49049,0.0,0.05413,7.84314,0.39394,7.61729,1.0,0.0,0.0,nan,959.49751,60.30406,0.89202,0.20258,0.98514
19,MO AHD (no fuzzy risk),6.0,240.0,570.68521,19.618,65.52702,0.48526,0.0,0.0321,4.75223,0.39567,7.39495,2.0,0.16791,0.02804,nan,943.82991,55.40142,1.09122,0.03189,0.92851
19,C-R-EoH,6.0,240.0,570.68521,15.95315,58.17705,0.47847,0.0,0.0265,3.88356,0.37179,5.26254,3.0,0.44463,0.27673,0.914,936.47994,53.0301,1.10148,0.36262,1.01619
20,Classical heuristic,5.0,200.0,499.50343,64.5588,177.22993,0.5417,0.8,0.09189,14.83285,0.37196,17.49484,1.0,0.0,0.0,nan,970.79956,96.36462,0.60989,0.0,1.0
20,Deterministic AHD,5.0,200.0,499.50343,38.40082,140.35446,0.52439,0.0,0.03164,5.1398,0.29829,11.21976,1.0,0.0,0.0,nan,933.92409,83.27784,0.86568,0.0,0.94249
20,MO AHD (no fuzzy risk),5.0,200.0,499.50343,38.24113,140.35446,0.52476,0.0,0.02828,4.61842,0.27437,9.67355,2.0,0.33818,0.09329,nan,933.92409,83.13557,0.86652,0.0,0.92582
20,C-R-EoH,6.0,240.0,499.50343,1.61507,8.99159,0.10928,0.0,0.03018,3.93774,0.15323,0.79024,4.0,1.0,1.0,0.96834,840.83576,47.62696,1.09936,0.38442,0.91423
21,Classical heuristic,6.0,240.0,543.21773,61.12676,166.07818,0.56474,0.16667,0.17334,26.19062,0.48502,17.84875,1.0,0.0,0.0,nan,1032.40804,81.21047,0.46732,0.0,1.0
21,Deterministic AHD,5.0,200.0,543.21773,74.92304,189.49479,0.58325,0.6,0.04069,7.07125,0.44191,21.32964,1.0,0.0,0.0,nan,1015.82464,84.56352,0.6174,0.0,1.02173
21,MO AHD (no fuzzy risk),6.0,240.0,543.21773,8.41529,46.70975,0.36296,0.0,0.03228,4.69776,0.26252,3.01875,2.0,0.48183,0.43799,nan,913.0396,46.45158,1.1025,0.21297,0.91802
21,C-R-EoH,6.0,240.0,543.21773,8.41529,46.70975,0.36296,0.0,0.03228,4.69776,0.26252,3.01875,5.0,0.65455,0.62532,0.99287,913.0396,46.45158,1.1025,0.21297,0.91802
22,Classical heuristic,5.0,200.0,519.26325,46.64756,134.77161,0.55958,0.2,0.0316,5.15386,0.4039,12.66135,1.0,0.0,0.0,nan,924.61936,70.73438,0.58583,0.0,1.0
22,Deterministic AHD,5.0,200.0,519.26325,46.36724,134.77161,0.56028,0.2,0.02645,4.34357,0.33237,10.60965,1.0,0.0,0.0,nan,924.61936,71.69238,0.59263,0.31895,1.12
22,MO AHD (no fuzzy risk),6.0,240.0,519.26325,0.73507,6.70915,0.10957,0.0,0.02218,2.97453,0.07227,0.33981,1.0,0.0,0.0,nan,836.55757,35.44057,1.1025,0.50627,0.97153
22,C-R-EoH,6.0,240.0,519.26325,0.73507,6.70915,0.10957,0.0,0.02218,2.97453,0.07227,0.33981,3.0,1.0,0.57341,0.99992,836.55757,35.44057,1.1025,0.50627,0.97153
23,Classical heuristic,6.0,240.0,560.29588,79.82062,177.11347,0.58845,0.83333,0.16705,27.39219,0.3679,17.04873,1.0,0.0,0.0,nan,1046.1362,93.33073,0.6292,0.0,1.0
23,Deterministic AHD,5.0,200.0,560.29588,94.90588,193.5341,0.59314,1.0,0.02753,4.98739,0.32727,19.9069,1.0,0.0,0.0,nan,1022.55683,96.21377,0.73138,0.11732,1.11445
23,MO AHD (no fuzzy risk),5.0,200.0,560.29588,94.90588,193.5341,0.59314,1.0,0.02753,4.98739,0.32727,19.9069,1.0,0.0,0.0,nan,1022.55683,96.21377,0.73138,0.11732,1.11445
