seed,method,f1,f2,f3,p95,hv,ood_degradation,lam,slack,balance,scenario_costs
9,MO AHD (no fuzzy risk),823.2997240162583,915.9835490625675,61.461509943203836,937.2377227694415,1.1025,43.234956148305336,0.4,0.05961946286952986,0.46833949905065686,747.702;819.628;819.628;850.775;816.344;887.124;911.743;748.419;788.891;815.651;700.869;776.503;815.488;747.702;747.702;747.702;930.434;828.107;823.516;847.238;856.108;1079.853;935.620;856.937;880.495;896.712;879.162;812.252;798.232;808.549;727.044;967.982;887.704;783.106;851.080;678.255;878.038;747.393;776.946;659.359
9,C-R-EoH,794.4905575592311,883.1063141636711,58.62923757063582,900.5812836572549,1.1025,42.93456529632093,0.4840581183551394,0.0,0.008832735120993564,722.292;791.032;791.032;815.976;787.750;854.565;879.185;723.818;761.336;785.547;677.439;750.021;787.431;722.292;722.292;722.292;897.153;798.736;799.024;814.248;826.147;1037.071;898.997;830.528;848.697;867.200;848.935;783.978;771.357;777.183;705.745;930.682;857.103;757.569;822.009;656.246;847.159;720.549;751.370;637.638
10,Classical heuristic,621.7213517860855,671.5361981423686,33.16552168507131,684.832450101681,1.1024999999999994,35.74353808380377,1.0,0.0,0.0,579.858;622.823;486.795;652.156;593.759;684.153;600.454;653.722;616.007;620.470;562.177;590.599;566.192;579.858;579.858;579.858;618.228;605.472;665.711;626.265;627.222;575.601;622.413;591.953;673.858;638.098;647.768;679.047;620.732;621.403;675.496;593.209;640.171;631.323;643.714;630.988;721.010;697.748;588.632;664.051
10,Deterministic AHD,621.7213517860855,671.5361981423686,33.16552168507131,684.832450101681,1.1024999999999994,35.74353808380377,1.0,0.0,0.0,579.858;622.823;486.795;652.156;593.759;684.153;600.454;653.722;616.007;620.470;562.177;590.599;566.192;579.858;579.858;579.858;618.228;605.472;665.711;626.265;627.222;575.601;622.413;591.953;673.858;638.098;647.768;679.047;620.732;621.403;675.496;593.209;640.171;631.323;643.714;630.988;721.010;697.748;588.632;664.051
10,MO AHD (no fuzzy risk),621.7213517860855,671.5361981423686,33.16552168507131,684.832450101681,1.1025,35.74353808380377,1.0,0.0,0.0,579.858;622.823;486.795;652.156;593.759;684.153;600.454;653.722;616.007;620.470;562.177;590.599;566.192;579.858;579.858;579.858;618.228;605.472;665.711;626.265;627.222;575.601;622.413;591.953;673.858;638.098;647.768;679.047;620.732;621.403;675.496;593.209;640.171;631.323;643.714;630.988;721.010;697.748;588.632;664.051
10,C-R-EoH,621.7213517860854,671.5361981423686,33.165521685071305,684.832450101681,1.1025,35.74353808380379,0.5511978735893253,0.0,0.0,579.858;622.823;486.795;652.156;593.759;684.153;600.454;653.722;616.007;620.470;562.177;590.599;566.192;579.858;579.858;579.858;618.228;605.472;665.711;626.265;627.222;575.601;622.413;591.953;673.858;638.098;647.768;679.047;620.732;621.403;675.496;593.209;640.171;631.323;643.714;630.988;721.010;697.748;588.632;664.051
11,Classical heuristic,678.2416234827894,812.2090662075553,95.66015104845913,845.6640490712649,1.0272823416233487,58.31157781033678,1.0,0.0,0.0,610.899;626.866;464.576;564.553;647.365;557.121;748.459;753.366;803.354;561.969;686.847;599.313;614.891;610.899;610.899;610.899;832.026;576.753;554.516;763.653;514.621;525.586;783.583;605.549;886.152;780.683;582.173;646.459;823.870;681.742;855.755;723.253;670.892;845.133;715.458;762.093;790.204;573.074;744.160;820.003
11,Deterministic AHD,671.9307435359475,803.6231353048228,94.01351569110943,836.7922102358872,1.1025,58.15169484921786,0.9857273150478955,0.0,0.0,605.190;623.448;461.159;561.136;643.374;553.131;739.313;745.365;795.353;557.406;679.992;594.176;609.754;605.190;605.190;605.190;822.616;571.808;549.887;755.869;511.072;521.742;775.452;599.788;876.443;773.831;576.958;642.128;815.321;676.268;847.112;717.010;663.630;836.249;709.030;755.179;779.952;568.918;736.499;810.100
11,MO AHD (no fuzzy risk),671.9307435359475,803.6231353048228,94.01351569110943,836.7922102358872,1.1025,58.15169484921786,0.9857273150478955,0.0,0.0,605.190;623.448;461.159;561.136;643.374;553.131;739.313;745.365;795.353;557.406;679.992;594.176;609.754;605.190;605.190;605.190;822.616;571.808;549.887;755.869;511.072;521.742;775.452;599.788;876.443;773.831;576.958;642.128;815.321;676.268;847.112;717.010;663.630;836.249;709.030;755.179;779.952;568.918;736.499;810.100
11,C-R-EoH,671.9307435359475,803.6231353048228,94.01351569110943,836.7922102358872,1.1025,58.15169484921786,0.9857273150478955,0.0,0.0,605.190;623.448;461.159;561.136;643.374;553.131;739.313;745.365;795.353;557.406;679.992;594.176;609.754;605.190;605.190;605.190;822.616;571.808;549.887;755.869;511.072;521.742;775.452;599.788;876.443;773.831;576.958;642.128;815.321;676.268;847.112;717.010;663.630;836.249;709.030;755.179;779.952;568.918;736.499;810.100
