seed,variant,portfolio_size,f1,f2,f3,p95,hv,ood,nominal,portfolio,pack,buffer
12,No OWA risk objective,4,811.1509,912.9529,64.8504,950.68,1.0935,68.7364,738.6776,4,0.9084,0.1481
12,No stability objective,3,834.595,905.6246,47.4283,928.3318,1.0939,51.4986,778.6776,3,0.7363,0.0
12,No robustness buffer,3,834.595,905.6246,47.4283,928.3318,1.0918,51.4986,778.6776,3,0.7363,0.0
12,No Pareto archive (scalarised),1,811.4518,912.5749,65.0349,953.313,1.046,68.6739,738.6776,1,0.8565,0.0
12,No alpha-cut ensemble (modal only),2,839.5529,998.1531,107.1423,1057.8518,0.3063,76.1303,701.9841,2,1.0674,0.1047
13,Full C-R-EoH,7,870.5503,962.8253,58.5825,988.8567,1.096,59.0197,807.7172,7,1.0542,0.673
13,No OWA risk objective,7,866.1932,1018.172,94.7502,1083.7733,1.096,72.5189,767.7172,7,0.9878,0.1994
13,No stability objective,2,870.5503,962.8253,58.5825,988.8567,1.096,59.0197,807.7172,2,1.0542,0.673
13,No robustness buffer,6,872.9704,971.6662,62.488,1008.245,1.0293,58.7976,807.7172,6,0.769,0.0
13,No Pareto archive (scalarised),1,870.5503,962.8253,58.5825,988.8567,1.0796,59.0197,807.7172,1,1.0542,0.673
13,No alpha-cut ensemble (modal only),4,869.9576,1027.3018,99.0297,1096.4968,0.7262,71.7731,767.7172,4,0.9092,0.0
14,Full C-R-EoH,6,884.8413,965.1626,53.9337,1011.7749,1.0994,60.6019,826.6266,6,0.8675,0.1911
14,No OWA risk objective,6,882.4474,1012.2748,85.3878,1070.5565,1.0994,73.5029,786.6266,6,0.9676,0.0565
14,No stability objective,3,884.8413,965.1626,53.9337,1011.7749,1.0994,60.6019,826.6266,3,0.8675,0.1911
14,No robustness buffer,4,889.7914,978.2722,58.3565,1041.0678,1.0186,61.4215,826.6266,4,0.823,0.0
14,No Pareto archive (scalarised),1,884.8413,965.1626,53.9337,1011.7749,1.0897,60.6019,826.6266,1,0.8675,0.1911
14,No alpha-cut ensemble (modal only),4,910.6619,1049.5982,96.6714,1089.9073,0.7826,69.6262,786.6266,4,1.0,0.0
15,Full C-R-EoH,5,783.8259,857.0407,46.8331,877.8087,1.1025,45.0223,741.3633,5,0.9497,0.3045
15,No OWA risk objective,4,783.8259,857.0407,46.8331,877.8087,1.1025,45.0223,741.3633,4,0.9497,0.3045
15,No stability objective,1,783.8259,857.0407,46.8331,877.8087,1.1025,45.0223,741.3633,1,0.9497,0.3045
15,No robustness buffer,5,785.3346,864.3792,49.1689,890.5567,1.0603,44.7436,741.3633,5,0.8748,0.0028
15,No Pareto archive (scalarised),1,783.8259,857.0407,46.8331,877.8087,1.1025,45.0223,741.3633,1,0.9497,0.3045
15,No alpha-cut ensemble (modal only),1,801.245,934.3004,86.928,969.0207,0.676,55.5621,710.2719,1,1.12,0.2656
16,Full C-R-EoH,7,860.5917,935.8719,53.9279,940.7913,1.0996,49.125,806.6929,7,0.7767,0.0
16,No OWA risk objective,6,850.3027,965.2263,80.6131,988.4943,1.0996,63.6259,766.6929,6,1.0226,0.2262
16,No stability objective,2,860.5917,935.8719,53.9279,940.7913,1.0996,49.125,806.6929,2,0.7767,0.0
16,No robustness buffer,4,860.5917,935.8719,53.9279,940.7913,1.0843,49.125,806.6929,4,0.7767,0.0
16,No Pareto archive (scalarised),1,860.5917,935.8719,53.9279,940.7913,1.0696,49.125,806.6929,1,0.7767,0.0
16,No alpha-cut ensemble (modal only),13,888.2887,1035.1643,105.707,1063.1388,0.9971,62.5378,766.6929,13,1.0,0.0
17,Full C-R-EoH,3,771.7976,836.2698,43.5621,862.5264,1.1025,40.058,725.974,3,1.1176,0.8811
17,No OWA risk objective,3,771.7976,836.2698,43.5621,862.5264,1.1025,40.058,725.974,3,1.1176,0.8811
17,No stability objective,1,771.7976,836.2698,43.5621,862.5264,1.1025,40.058,725.974,1,1.1176,0.8811
17,No robustness buffer,3,778.6237,851.8074,48.406,890.6908,0.9469,41.0254,725.974,3,0.8471,0.0
17,No Pareto archive (scalarised),1,771.7976,836.2698,43.5621,862.5264,1.1025,40.058,725.974,1,1.1176,0.8811
17,No alpha-cut ensemble (modal only),1,781.5745,901.7919,82.6459,956.9963,0.5844,52.3627,685.974,1,1.0,0.0
18,Full C-R-EoH,5,853.1733,940.0647,56.4516,966.2765,1.0915,53.0684,800.5676,5,0.7597,0.0
18,No OWA risk objective,5,837.481,968.1077,83.0974,1023.749,1.0915,68.919,760.5676,5,1.12,0.5199
18,No stability objective,3,853.1733,940.0647,56.4516,966.2765,1.0915,53.0684,800.5676,3,0.7597,0.0
