seed,selector,f1,f2,f3,p95,hv,ood,nominal,pack,buffer,portfolio_size
9,Choice-function hyper-heuristic,873.8335382498501,987.7772547955389,68.58946543772814,1044.164222335658,0.8719052159396674,72.4762209462783,780.2994366737668,0.9120245595383394,0.0,1
9,C-R-EoH (fuzzy MO evaluator),885.3798285631326,956.9197814241576,45.37020491724854,994.7133263523502,1.0662626218625149,58.82377855757335,820.2994366737668,0.836296999431109,0.1307234729097418,11
10,Deterministic AHD (nominal),832.1168779912932,955.1999071445825,76.91449202246831,1012.7129781609922,0.5385576399858606,61.763740278680196,727.8026825113939,1.0309910020598085,0.0,1
10,Robust min-max (Wald),830.7525034076056,882.7478153532608,32.43993947037328,905.3461776314834,0.9584294658538048,37.94549618983614,790.3943910735863,0.9473686603053161,0.5913821381607899,1
10,Min-max regret (Savage),809.4133531163055,886.5841523539508,47.39151874819717,918.5169237519111,1.0547337248934345,54.0634678984338,750.3943910735863,1.0798093579050387,0.493159729919069,1
10,Budgeted robust ($\Gamma$=2 zones),830.7525034076056,882.7478153532608,32.43993947037328,905.3461776314834,0.9584294658538048,37.94549618983614,790.3943910735863,0.9473686603053161,0.5913821381607899,1
10,SAA mean-CVaR ($\beta$=0.90),830.7525034076056,882.7478153532608,32.43993947037328,905.3461776314834,0.9584294658538048,37.94549618983614,790.3943910735863,0.9473686603053161,0.5913821381607899,1
10,Iterated racing (irace-style),807.9046983504653,883.5184425330577,46.75898058918338,926.1045392208097,1.083056522511409,54.38897194400877,750.3943910735863,0.9007497992220669,0.03167599314126989,1
10,Choice-function hyper-heuristic,807.9046983504653,883.5184425330577,46.75898058918338,926.1045392208097,1.083056522511409,54.38897194400877,750.3943910735863,0.9007497992220669,0.03167599314126989,1
10,C-R-EoH (fuzzy MO evaluator),830.4940740083512,882.0023365919997,32.22523867294558,905.1225340031051,1.0917641358529482,37.96208746925338,790.3943910735863,0.8475853209103592,0.3151399686580105,5
11,Deterministic AHD (nominal),776.7636486461184,897.021703593338,86.13773974507875,943.5785312389323,0.7638419300894074,49.98290644206423,683.4099830555696,0.9768562015197872,0.0,1
11,Robust min-max (Wald),802.6118899258772,856.9669479997133,41.89299941011569,877.431412495573,0.8399457337817038,22.15298798000637,763.4099830555696,0.844825361554237,0.4981363957975039,1
11,Min-max regret (Savage),772.1210731656174,843.162452384969,50.451264325882036,889.9552487770355,1.0236572547989664,38.38831102353868,723.4099830555696,0.8676583418133624,0.06013003165487166,1
11,Budgeted robust ($\Gamma$=2 zones),767.5038555491655,830.3575499223115,46.29576847107508,861.7108949430442,1.1025,38.081735081999604,723.4099830555697,0.9402547785060932,0.37654713841212184,1
11,SAA mean-CVaR ($\beta$=0.90),767.5038555491655,830.3575499223115,46.29576847107508,861.7108949430442,1.1025,38.081735081999604,723.4099830555697,0.9402547785060932,0.37654713841212184,1
11,Iterated racing (irace-style),767.5038555491655,830.3575499223115,46.29576847107508,861.7108949430442,1.1025,38.081735081999604,723.4099830555697,0.9402547785060932,0.37654713841212184,1
11,Choice-function hyper-heuristic,767.5038555491655,830.3575499223115,46.29576847107508,861.7108949430442,1.1025,38.081735081999604,723.4099830555697,0.9402547785060932,0.37654713841212184,1
11,C-R-EoH (fuzzy MO evaluator),767.5038555491655,830.3575499223115,46.29576847107508,861.7108949430442,1.1025,38.081735081999604,723.4099830555697,0.9402547785060932,0.37654713841212184,5
12,Deterministic AHD (nominal),858.5743116246127,1037.6690062840105,114.37624505388574,1175.3968283711579,0.25575262299344226,76.13031605435927,701.9841377378989,1.0674375974207804,0.10474401940458335,1
12,Robust min-max (Wald),847.9138356087487,938.0022876153586,55.90301127075454,1034.0386210392487,0.8630544393546112,55.20618087534,778.6776159084053,0.7922131488590627,0.06609465895643016,1
12,Min-max regret (Savage),825.4965680599435,947.2022835518773,74.38375112273796,1070.430668056168,0.9605896463556974,68.67387860505247,738.6776159084053,0.8564939144954611,0.0,1
12,Budgeted robust ($\Gamma$=2 zones),844.672665483948,927.1983871993563,52.013607120993655,1006.0436967308814,0.951214281181868,51.498629928675356,778.6776159084054,0.7363179172256875,0.0,1
12,SAA mean-CVaR ($\beta$=0.90),825.084991979001,948.9139677639901,74.82492991458324,1072.3809004487593,0.9514620599473238,68.736445109332,738.6776159084053,0.9084303380525635,0.14807686030701536,1
12,Iterated racing (irace-style),825.084991979001,948.9139677639901,74.82492991458324,1072.3809004487593,0.9514620599473238,68.736445109332,738.6776159084053,0.9084303380525635,0.14807686030701536,1
12,Choice-function hyper-heuristic,825.084991979001,948.9139677639901,74.82492991458324,1072.3809004487593,0.9514620599473238,68.736445109332,738.6776159084053,0.9084303380525635,0.14807686030701536,1
12,C-R-EoH (fuzzy MO evaluator),825.084991979001,948.9139677639901,74.82492991458324,1072.3809004487593,1.0817744822406539,68.736445109332,738.6776159084053,0.9084303380525635,0.14807686030701536,8
13,Deterministic AHD (nominal),886.78536012056,1055.109330555017,112.6026900915031,1096.4968324582032,0.6434237447130315,71.77313315970609,767.7171646833449,0.9091742487032327,0.0,1
13,Robust min-max (Wald),879.6969144037714,980.2598575997836,68.15271365965711,988.8567215428154,1.1025,59.01973529550426,807.717164683345,1.054160820551069,0.673012590065983,1
13,Min-max regret (Savage),882.1155139605264,989.2039043584988,71.39136410852342,1005.145766687453,1.0379171697896212,58.65915081983356,807.7171646833451,0.8504897689835997,0.17228131179144635,1
13,Budgeted robust ($\Gamma$=2 zones),913.6122631797385,1002.0571243192725,62.00614269426005,1016.8701044378116,0.8127134649845354,41.48224958441014,847.717164683345,0.9746826624651992,0.7827792543185695,1
13,SAA mean-CVaR ($\beta$=0.90),879.6969144037714,980.2598575997836,68.15271365965711,988.8567215428154,1.1025,59.01973529550426,807.717164683345,1.054160820551069,0.673012590065983,1
13,Iterated racing (irace-style),882.5830058581778,1045.579977924673,108.32859999662273,1081.9767281416673,0.711911533232639,72.48019513769808,767.717164683345,1.0370237392025943,0.3122575142396558,1
13,Choice-function hyper-heuristic,886.1985413914481,1053.989129485721,111.31180868183814,1096.4968324582032,0.6516632004678251,72.02256169358928,767.717164683345,0.9254705648336872,0.06693131571029003,1
13,C-R-EoH (fuzzy MO evaluator),879.6969144037714,980.2598575997836,68.15271365965711,988.8567215428154,1.1025,59.01973529550426,807.717164683345,1.054160820551069,0.673012590065983,5
14,Deterministic AHD (nominal),901.5336881273782,1043.0457545035586,96.52670001558303,1088.049854196013,0.5236920536680933,69.62616555736045,786.6266040376511,1.0,0.0,1
14,Robust min-max (Wald),914.2261888827057,983.3940348167216,47.566822525518276,999.7840436031453,0.7560009269289812,42.99006885245298,866.6266040376512,1.0229594092507601,0.9256298924861406,1
14,Min-max regret (Savage),889.437229021645,981.8012603871639,61.6639487716521,1014.0997767270378,0.8747665977406468,62.317677771650004,826.6266040376513,0.8541097113121576,0.01593934585433397,1
14,Budgeted robust ($\Gamma$=2 zones),879.6462272940462,958.6030866496711,53.52886477799283,981.2822677848105,1.0446904199137397,60.53883198494804,826.6266040376512,0.9974523833957569,0.44622790220236935,1
14,SAA mean-CVaR ($\beta$=0.90),879.6462272940462,958.6030866496711,53.52886477799283,981.2822677848105,1.0446904199137397,60.53883198494804,826.6266040376512,0.9974523833957569,0.44622790220236935,1
14,Iterated racing (irace-style),879.6462272940462,958.6030866496711,53.52886477799283,981.2822677848105,1.0446904199137397,60.53883198494804,826.6266040376512,0.9974523833957569,0.44622790220236935,1
14,Choice-function hyper-heuristic,879.6462272940462,958.6030866496711,53.52886477799283,981.2822677848105,1.0446904199137397,60.53883198494804,826.6266040376512,0.9974523833957569,0.44622790220236935,1
14,C-R-EoH (fuzzy MO evaluator),879.6462272940462,958.6030866496711,53.52886477799283,981.2822677848105,1.0446904199137397,60.53883198494804,826.6266040376512,0.9974523833957569,0.44622790220236935,4
15,Deterministic AHD (nominal),794.1289977504009,928.3388687865986,95.41230992995864,940.9446903476929,0.6782900852190076,55.56211726274506,710.2719243035294,1.12,0.26556945062852577,1
15,Robust min-max (Wald),811.7221766830992,871.3355475146394,43.437321654174326,876.3778761390772,0.8578680525016247,27.88980449486041,781.3633489119561,0.8348236931120164,0.3505984245971312,1
15,Min-max regret (Savage),777.5987306886775,848.7934862944327,48.963663018693765,855.8104981912637,1.1025,45.0222548047255,741.3633489119561,0.949708410006399,0.3044726092719386,1
15,Budgeted robust ($\Gamma$=2 zones),811.7221766830992,871.3355475146394,43.437321654174326,876.3778761390773,0.8578680525016247,27.356538288925762,781.363348911956,0.749918904126537,0.04186476408283965,1
15,SAA mean-CVaR ($\beta$=0.90),811.7221766830992,871.3355475146394,43.437321654174326,876.3778761390772,0.8578680525016247,27.88980449486041,781.3633489119561,0.8348236931120164,0.3505984245971312,1
15,Iterated racing (irace-style),777.5987306886775,848.7934862944327,48.963663018693765,855.8104981912637,1.1025,45.0222548047255,741.3633489119561,0.949708410006399,0.3044726092719386,1
15,Choice-function hyper-heuristic,777.5987306886775,848.7934862944327,48.963663018693765,855.8104981912637,1.1025,45.0222548047255,741.3633489119561,0.949708410006399,0.3044726092719386,1
15,C-R-EoH (fuzzy MO evaluator),777.5987306886775,848.7934862944327,48.963663018693765,855.8104981912637,1.1025,45.0222548047255,741.3633489119561,0.949708410006399,0.3044726092719386,4
16,Deterministic AHD (nominal),866.201490532368,1024.3830622429807,105.45307435477051,1030.5170239756953,0.72402486651424,62.5377613757728,766.6928835598637,1.0,0.0,1
16,Robust min-max (Wald),851.2399116216035,932.6950275718845,53.708919487459674,932.4772645645415,1.054050279283854,49.12500437057556,806.6928835598637,0.7767235410208332,0.0,1
16,Min-max regret (Savage),858.982088477869,954.1137111442667,62.874877438766774,954.4429148263557,0.962052404583488,54.99823123591985,806.6928835598638,0.8390828163417032,0.0,1
16,Budgeted robust ($\Gamma$=2 zones),851.2399116216035,932.6950275718845,53.708919487459674,932.4772645645415,1.054050279283854,49.12500437057556,806.6928835598637,0.7767235410208332,0.0,1
16,SAA mean-CVaR ($\beta$=0.90),851.2399116216035,932.6950275718845,53.708919487459674,932.4772645645415,1.054050279283854,49.12500437057556,806.6928835598637,0.7767235410208332,0.0,1
16,Iterated racing (irace-style),837.7023430069443,962.9909976761692,81.95326183146679,979.8528477170943,0.9949938790380475,63.50135313044667,766.6928835598637,0.9937786375121686,0.25226401062490605,1
